method,task,L2_mean,L2_std,L2_pm,SSIM_mean,SSIM_std,SSIM_pm,LPIPS_mean,LPIPS_std,LPIPS_pm,PSNR_mean,PSNR_std,PSNR_pm,delta_vs_naive_L2,delta_vs_naive_SSIM,delta_vs_naive_LPIPS,delta_vs_naive_PSNR
naive_reverse,reverse,0.006469245060579803,0.002945468851461312,0.0065 +/- 0.0029,0.5234058909118176,0.08526897191041787,0.5234 +/- 0.0853,0.18893010646104813,0.09058573657736223,0.1889 +/- 0.0906,22.253266367705805,1.7135895666200645,22.2533 +/- 1.7136,0.0,0.0,0.0,0.0
token_reverse_clean,reverse,0.0021798109399969188,0.001534129220502364,0.0022 +/- 0.0015,0.8069816216826439,0.08584927379716664,0.8070 +/- 0.0858,0.1215837151681383,0.07997488401539105,0.1216 +/- 0.0800,27.45651266932379,2.677467351184715,27.4565 +/- 2.6775,-0.004289434120582884,0.2835757307708263,-0.06734639129290983,5.203246301617984
token_reverse_rbn,reverse,0.0027055915188005,0.0018740820571669068,0.0027 +/- 0.0019,0.7884019295871257,0.09322705761335824,0.7884 +/- 0.0932,0.15140315284331635,0.08941611099097907,0.1514 +/- 0.0894,26.53858699638039,2.75204491780824,26.5386 +/- 2.7520,-0.0037636535417793025,0.2649960386753082,-0.037526953617731784,4.285320628674583
token_reverse_jpeg,reverse,0.0024725568132998362,0.001803404115014059,0.0025 +/- 0.0018,0.7898095816373825,0.09690982194659281,0.7898 +/- 0.0969,0.14665113036831215,0.09092711037855065,0.1467 +/- 0.0909,26.973448317748264,2.7869954018768173,26.9734 +/- 2.7870,-0.0039966882472799664,0.2664036907255649,-0.04227897609273598,4.720181950042459
token_reverse_oracle,reverse,0.002129790005177056,0.0015296985906241227,0.0021 +/- 0.0015,0.8136244025329749,0.0853066893590607,0.8136 +/- 0.0853,0.11345484415690099,0.07689810922180271,0.1135 +/- 0.0769,27.628628332904263,2.8201869797066057,27.6286 +/- 2.8202,-0.0043394550554027465,0.2902185116211573,-0.07547526230414714,5.375361965198458
