method,task,L2_mean,L2_std,L2_pm,SSIM_mean,SSIM_std,SSIM_pm,LPIPS_mean,LPIPS_std,LPIPS_pm,PSNR_mean,PSNR_std,PSNR_pm,delta_vs_naive_L2,delta_vs_naive_SSIM,delta_vs_naive_LPIPS,delta_vs_naive_PSNR
naive_serial3,serial3,0.01133554719078039,0.00325874741461626,0.0113 +/- 0.0033,0.4548013804852962,0.0766846445743708,0.4548 +/- 0.0767,0.23780160278081894,0.06844610129533553,0.2378 +/- 0.0684,19.637666449701083,1.2683149652712775,19.6377 +/- 1.2683,0.0,0.0,0.0,0.0
token_serial3_clean,serial3,0.009132541242676429,0.003487043287740769,0.0091 +/- 0.0035,0.4500049094607433,0.08806877993559636,0.4500 +/- 0.0881,0.1885174245511492,0.06267591844512577,0.1885 +/- 0.0627,20.714925647721714,1.686207706796399,20.7149 +/- 1.6862,-0.002203005948103961,-0.00479647102455294,-0.04928417822966974,1.0772591980206307
token_serial3_jpeg,serial3,0.009438286850539296,0.003636265608278482,0.0094 +/- 0.0036,0.43758170371254285,0.08716210152791048,0.4376 +/- 0.0872,0.19835150990635156,0.06352179129164101,0.1984 +/- 0.0635,20.578714779604518,1.7045466962113514,20.5787 +/- 1.7045,-0.0018972603402410936,-0.01721967677275338,-0.03945009287446738,0.9410483299034347
token_serial3_v7_render_clean,serial3_render,0.010172494987491471,0.003770919953812826,0.0102 +/- 0.0038,0.419184157277147,0.08486892589890914,0.4192 +/- 0.0849,0.2259808966641625,0.06659497855896995,0.2260 +/- 0.0666,20.228651221777604,1.6391454280782525,20.2287 +/- 1.6391,-0.0011630522032889182,-0.03561722320814925,-0.011820706116656449,0.5909847720765207
token_serial3_v7_clean,serial3,0.009845710243874492,0.003697156482751208,0.0098 +/- 0.0037,0.42775140357514224,0.08644921968756639,0.4278 +/- 0.0864,0.20902508724480867,0.06536097155517691,0.2090 +/- 0.0654,20.378394864615636,1.6602540798535232,20.3784 +/- 1.6603,-0.001489836946905897,-0.027049976910153983,-0.028776515536010266,0.7407284149145532
token_serial3_v7_rbn,serial3,0.010766620793535013,0.003982275057579059,0.0108 +/- 0.0040,0.4046030039091905,0.0846432199365987,0.4046 +/- 0.0846,0.21959673763563237,0.06566808452241199,0.2196 +/- 0.0657,19.982739458017182,1.6427411768390403,19.9827 +/- 1.6427,-0.0005689263972453763,-0.05019837657610571,-0.01820486514518657,0.3450730083160991
token_serial3_v7_jpeg,serial3,0.010151672898015577,0.003836611103741919,0.0102 +/- 0.0038,0.4155116558074951,0.08563198100068313,0.4155 +/- 0.0856,0.21957599191615979,0.06580018817623244,0.2196 +/- 0.0658,20.250888901438998,1.6755790561488495,20.2509 +/- 1.6756,-0.001183874292764812,-0.03928972467780112,-0.018225610864659153,0.613222451737915
