method,task,L2_mean,L2_std,L2_pm,SSIM_mean,SSIM_std,SSIM_pm,LPIPS_mean,LPIPS_std,LPIPS_pm,PSNR_mean,PSNR_std,PSNR_pm,delta_vs_naive_L2,delta_vs_naive_SSIM,delta_vs_naive_LPIPS,delta_vs_naive_PSNR
naive_serial2,serial2,0.00901146853187427,0.0027294677127684816,0.0090 +/- 0.0027,0.4965514346460501,0.09364747291464934,0.4966 +/- 0.0936,0.1944542398676276,0.07251207608702652,0.1945 +/- 0.0725,20.637784720110655,1.2607679578971527,20.6378 +/- 1.2608,0.0,0.0,0.0,0.0
token_serial2_clean,serial2,0.007758443435110724,0.0029552542004809747,0.0078 +/- 0.0030,0.49429368729392686,0.08438571335503871,0.4943 +/- 0.0844,0.1577103642870982,0.05851792529099177,0.1577 +/- 0.0585,21.41328485927972,1.652716550684154,21.4133 +/- 1.6527,-0.0012530250967635465,-0.0022577473521232516,-0.03674387558052941,0.7755001391690648
token_serial2_jpeg,serial2,0.008119515644696802,0.003122547820976681,0.0081 +/- 0.0031,0.4796109540015459,0.08307946718551726,0.4796 +/- 0.0831,0.16620975965013107,0.059140474649974496,0.1662 +/- 0.0591,21.22681227534612,1.6859860471132682,21.2268 +/- 1.6860,-0.0008919528871774683,-0.016940480644504208,-0.028244480217496537,0.5890275552354645
token_serial2_v7_render_clean,serial2_render,0.008328228313087748,0.0031380949632002796,0.0083 +/- 0.0031,0.4737883011500041,0.08277493522765546,0.4738 +/- 0.0828,0.18356540887306133,0.06298562242187183,0.1836 +/- 0.0630,21.09910763466303,1.6353273105713682,21.0991 +/- 1.6353,-0.0006832402187865218,-0.02276313349604603,-0.010888830994566279,0.46132291455237606
token_serial2_v7_clean,serial2,0.008134549640429466,0.0030754939732963566,0.0081 +/- 0.0031,0.47954356687764327,0.08343845926485348,0.4795 +/- 0.0834,0.1714533313984672,0.061300402083589625,0.1715 +/- 0.0613,21.203586582149207,1.6413060339010004,21.2036 +/- 1.6413,-0.0008769188914448042,-0.017007867768406848,-0.02300090846916042,0.5658018620385512
token_serial2_v7_rbn,serial2,0.008745428599261942,0.0032727509540299714,0.0087 +/- 0.0033,0.4614816694458326,0.08168541628694581,0.4615 +/- 0.0817,0.18150100021312635,0.062419638161857846,0.1815 +/- 0.0624,20.886474133735945,1.6376511437206505,20.8865 +/- 1.6377,-0.00026603993261232854,-0.03506976520021754,-0.012953239654501264,0.2486894136252893
token_serial2_v7_jpeg,serial2,0.008498570032340114,0.0032404108855949142,0.0085 +/- 0.0032,0.4647362904250622,0.08237453215538781,0.4647 +/- 0.0824,0.1802334815263748,0.06214178115447545,0.1802 +/- 0.0621,21.023729733392187,1.6731976296637219,21.0237 +/- 1.6732,-0.0005128984995341566,-0.03181514422098791,-0.014220758341252804,0.38594501328153186
