pair_id,cover_l2,cover_ssim,cover_lpips,cover_psnr,clean_token_mse,robust_token_mse,jpeg_token_mse,naive_reverse_l2,naive_reverse_ssim,naive_reverse_lpips,naive_reverse_psnr,token_reverse_clean_l2,token_reverse_clean_ssim,token_reverse_clean_lpips,token_reverse_clean_psnr,token_reverse_rbn_l2,token_reverse_rbn_ssim,token_reverse_rbn_lpips,token_reverse_rbn_psnr,token_reverse_jpeg_l2,token_reverse_jpeg_ssim,token_reverse_jpeg_lpips,token_reverse_jpeg_psnr,naive_serial2_l2,naive_serial2_ssim,naive_serial2_lpips,naive_serial2_psnr,token_serial2_clean_l2,token_serial2_clean_ssim,token_serial2_clean_lpips,token_serial2_clean_psnr,token_serial2_jpeg_l2,token_serial2_jpeg_ssim,token_serial2_jpeg_lpips,token_serial2_jpeg_psnr,token_serial2_v7_clean_l2,token_serial2_v7_clean_ssim,token_serial2_v7_clean_lpips,token_serial2_v7_clean_psnr,token_serial2_v7_jpeg_l2,token_serial2_v7_jpeg_ssim,token_serial2_v7_jpeg_lpips,token_serial2_v7_jpeg_psnr,naive_serial3_l2,naive_serial3_ssim,naive_serial3_lpips,naive_serial3_psnr,token_serial3_clean_l2,token_serial3_clean_ssim,token_serial3_clean_lpips,token_serial3_clean_psnr,token_serial3_jpeg_l2,token_serial3_jpeg_ssim,token_serial3_jpeg_lpips,token_serial3_jpeg_psnr,token_serial3_v7_clean_l2,token_serial3_v7_clean_ssim,token_serial3_v7_clean_lpips,token_serial3_v7_clean_psnr,token_serial3_v7_jpeg_l2,token_serial3_v7_jpeg_ssim,token_serial3_v7_jpeg_lpips,token_serial3_v7_jpeg_psnr
000000579070__antimonocromatismo,0.0001148449155152,0.9933812022209167,0.01785758882761,39.398882273957135,0.0155822141095995,0.0152641218155622,0.0154147762805223,0.0054765753448009,0.5242686867713928,0.0939877554774284,22.61490933082475,0.0018548937514424,0.777625560760498,0.0772996991872787,27.316809617814314,0.0021703627426177,0.7654364109039307,0.1148801147937774,26.634676744687297,0.002113671740517,0.7626383304595947,0.0955970734357833,26.7496245901138,0.0058051184751093,0.5446686148643494,0.1095059365034103,22.36188912435109,0.0048042335547506,0.5133246779441833,0.123909443616867,23.18375887806624,0.0049239373765885,0.5037691593170166,0.129090666770935,23.0768747913125,0.0049700555391609,0.501908004283905,0.133489042520523,23.03638758104421,0.0051526031456887,0.4909804761409759,0.1377391070127487,22.879733056807048,0.0130697255954146,0.4795444011688232,0.1727167665958404,18.83733530525673,0.0120946429669857,0.4346536695957184,0.1504020988941192,19.17406947455602,0.0127860913053154,0.4098134934902191,0.1692100465297699,18.93262198599706,0.0134436599910259,0.3992646634578705,0.175911545753479,18.714824799788573,0.0138241229578852,0.3845422267913818,0.1837104558944702,18.593624120401245
000000579070__impronte_d_artista,0.0001171497206087,0.9873377680778505,0.0274970419704914,39.31258742818063,0.0156842786818742,0.0155691346153616,0.0154910515993833,0.0056752557866275,0.503812849521637,0.117244467139244,22.4601455982339,0.0019417296862229,0.7705726027488708,0.0813725441694259,27.118112296045688,0.0020523739513009,0.7720889449119568,0.104053720831871,26.877435060406427,0.0021825865842401,0.7553258538246155,0.1073686629533767,26.610285186135208,0.0112258689478039,0.499560683965683,0.163935512304306,19.497800320947707,0.0105906426906585,0.4896580278873443,0.1399109959602356,19.75077684034409,0.0112259835004806,0.461046427488327,0.1503317654132843,19.497756004252253,0.0109621388837695,0.4766298532485962,0.1511470526456833,19.601046999765867,0.0116774374619126,0.4461953938007355,0.166334182024002,19.32652449882096,0.0075782374478876,0.5078198313713074,0.1486978828907013,21.20431791157651,0.0053915162570774,0.5343410968780518,0.1077747642993927,22.682890809212623,0.0056845527142286,0.5179591774940491,0.1087126582860946,22.453037018442345,0.0061510056257247,0.507552444934845,0.1314844191074371,22.11053875769275,0.0062078353948891,0.5059393644332886,0.1307786703109741,22.07059807220085
000000579070__picasso_self_portrait,0.0001123029869631,0.9942960143089294,0.014664395712316,39.4960869249742,0.0155373085290193,0.0151481749489903,0.0153317116200923,0.0056724362075328,0.5246614813804626,0.1063651144504547,22.462303795104116,0.0019718792755156,0.7816094756126404,0.0809018462896347,27.05119677418287,0.0022333413362503,0.7740224003791809,0.1223129481077194,26.51044895772663,0.0022507784888148,0.7643960118293762,0.0951978266239166,26.47667244146115,0.0057555641978979,0.5660091042518616,0.1031639501452446,22.39912097573069,0.0045758076012134,0.5639265179634094,0.0789495334029197,23.39532244592648,0.0047965506091713,0.5533521175384521,0.0832008123397827,23.190709688594065,0.0048286183737218,0.5496129393577576,0.0917427837848663,23.161771173861684,0.0050509311258792,0.5397359132766724,0.0941731184720993,22.966285534544895,0.0094521893188357,0.4936704337596893,0.2123773097991943,20.244675884253777,0.0078473929315805,0.4450022280216217,0.1735124140977859,21.05274601023392,0.007985514588654,0.4265030920505523,0.1850857436656952,20.976970925734516,0.0084257656708359,0.4179386794567108,0.1928762942552566,20.74390623215106,0.0087563479319214,0.3989376723766327,0.2061601877212524,20.576769901475647
000000579070__trial,0.0001100083827623,0.9884275794029236,0.0166799928992986,39.58574219853545,0.0153756812214851,0.0153264086693525,0.0152438273653388,0.0053084124810993,0.5380743145942688,0.1098153367638588,22.75035338387604,0.0018657011678442,0.7920653223991394,0.0671637207269668,27.291579166180988,0.0023848919663578,0.7769618034362793,0.107360191643238,26.2253128936069,0.0021123576443642,0.7772698998451233,0.0951027646660804,26.752325492896347,0.0087667005136609,0.464794248342514,0.172829583287239,20.57163829476925,0.0071103847585618,0.4788369238376617,0.1459733992815017,21.481068980045286,0.0072736949659883,0.4550320208072662,0.1497993767261505,21.3824491573192,0.0071219191886484,0.4657223522663116,0.1500609219074249,21.4740295850832,0.0075846593827009,0.4367494285106659,0.1795378923416137,21.20063918046007,0.0140981525182724,0.4142845571041107,0.1846212744712829,18.508377954076817,0.011578525416553,0.4228107035160064,0.1613741964101791,19.363467466734964,0.0123090995475649,0.396730899810791,0.169306144118309,19.097737160229595,0.0124773830175399,0.4020974636077881,0.1782177239656448,19.03876493196965,0.0129419500008225,0.3813644349575043,0.1844385266304016,18.88000282338631
000000579070__woman_with_hat_matisse,0.0001200139522552,0.9903654456138612,0.0306443739682436,39.20768261992099,0.0155025031417608,0.0153318680822849,0.015299092978239,0.0059887482784688,0.5000395178794861,0.106657475233078,22.22663940976476,0.001926462049596,0.7698468565940857,0.0715159922838211,27.15239541965477,0.0020472758915275,0.7729237675666809,0.0929745212197303,26.888236277359887,0.0021500326693058,0.7590081691741943,0.0870235785841941,26.675549410186065,0.0088798282667994,0.5643148422241211,0.1143977046012878,20.5159543326448,0.0093590673059225,0.4931424856185913,0.1242200210690498,20.28767429474946,0.0094609735533595,0.489134818315506,0.1240852400660514,20.240641715160525,0.0093952426686882,0.4910845756530761,0.1276112049818039,20.270919980742384,0.0100594898685812,0.4679505825042724,0.1359234750270843,19.97424042428957,0.0069169290363788,0.5286367535591125,0.1322684288024902,21.600866799042556,0.0053642368875443,0.4897906482219696,0.1474067419767379,22.704920517224277,0.0055905822664499,0.4788410663604736,0.1543166786432266,22.525429574199972,0.0058907065540552,0.4714623987674713,0.1621894091367721,22.298326111341087,0.0060961209237575,0.4598634541034698,0.1754266619682312,22.14946426839097
000000005001__antimonocromatismo,0.0001095087427529,0.9930968284606934,0.0126231042668223,39.60551207054064,0.0217736214399337,0.0218766368925571,0.0217073298990726,0.0082616051658988,0.5083437561988831,0.130047857761383,20.829355644270745,0.0030293550807982,0.7421606183052063,0.0865267664194107,25.186498185808937,0.0043823518790304,0.7145559191703796,0.1318372786045074,23.582927538894644,0.0034519617911428,0.7263115048408508,0.1077875867486,24.61934020021622,0.0061042769812047,0.5795830488204956,0.1049972996115684,22.143657685198104,0.0060460637323558,0.5377833247184753,0.1225452125072479,22.18527279178616,0.0062466165982186,0.5278580784797668,0.1264786422252655,22.043551491504783,0.0065677328966557,0.5198485255241394,0.1367052495479583,21.825845178659733,0.0067050587385892,0.5099123120307922,0.1454302966594696,21.73597413228719,0.0128080444410443,0.4763118028640747,0.1842519640922546,18.92517174181602,0.0119634987786412,0.4619658887386322,0.1454260349273681,19.22141790410877,0.0125705860555171,0.4403280913829803,0.162985160946846,19.006444745221497,0.0133971469476819,0.4237957000732422,0.1757711768150329,18.729876790086557,0.0140030672773718,0.4025579690933227,0.1881349086761474,18.537768246265845
000000005001__impronte_d_artista,0.0001157811275334,0.9896944165229796,0.017817635089159,39.36362225375938,0.0219469517469406,0.0220297798514366,0.0219048261642456,0.0096898274496197,0.4673276841640472,0.1249844878911972,20.13683956524591,0.0035804416984319,0.7158918380737305,0.1077867671847343,24.46063393646942,0.0044149775058031,0.6917133331298828,0.1446637660264969,23.55071504799996,0.0041533149778842,0.6898617744445801,0.1414993107318878,23.81605131743505,0.0098665505647659,0.5307857990264893,0.1507893651723861,20.05834654070672,0.0098596923053264,0.5156341195106506,0.1202789396047592,20.06136638018619,0.0105595365166664,0.4942376315593719,0.1252365708351135,19.763551436082366,0.0103780440986156,0.4997535943984985,0.1330819278955459,19.838844882234056,0.0110432272776961,0.4792776107788086,0.1521150469779968,19.56903989643544,0.007434535305947,0.5444784760475159,0.1360422223806381,21.28746171778208,0.0056661353446543,0.5779060125350952,0.099762812256813,22.46713055877265,0.0058446135371923,0.5670565962791443,0.1046168208122253,22.33244200364193,0.0063750674016773,0.5531474947929382,0.1291853040456771,21.95515219204312,0.0065367110073566,0.5456708669662476,0.1352440416812896,21.846407150776304
000000005001__picasso_self_portrait,0.0001116286148317,0.9938644766807556,0.0115808509290218,39.5222446426422,0.0216827578842639,0.0218510702252388,0.021637137979269,0.0089766411110758,0.5003007054328918,0.1324170082807541,20.46886137698927,0.0032090814784169,0.7122732996940613,0.0940227061510086,24.936192560495133,0.0053757796995341,0.6681528091430664,0.1420387327671051,22.69558537059335,0.0037227852735668,0.6926894187927246,0.1122688502073288,24.291320127191312,0.0053678867407143,0.6078634262084961,0.0824397578835487,22.70196656103169,0.0046266629360616,0.5991718769073486,0.0725510045886039,23.347321387842207,0.0048682070337235,0.5898675918579102,0.075573906302452,23.1263096049707,0.0050540324300527,0.5827453136444092,0.0872915908694267,22.96361975683264,0.0052184234373271,0.5778740048408508,0.0860168188810348,22.82460683949199,0.009295530617237,0.51241534948349,0.1658988445997238,20.31725814330951,0.0084962910041213,0.4976004064083099,0.1507439315319061,20.707706211072697,0.0085690822452306,0.486404538154602,0.161783367395401,20.67065688832365,0.0094950376078486,0.4679935872554779,0.1740406453609466,20.225033107743783,0.0096205277368426,0.4530831277370453,0.2023392617702484,20.168011039588286
000000005001__trial,0.0001085398544091,0.9894935488700868,0.0125376814976334,39.64410765300629,0.0216369535773992,0.021711565554142,0.0216067172586917,0.0081546679139137,0.5016997456550598,0.126981571316719,20.885937202265723,0.0032784631475806,0.7434499263763428,0.0941236019134521,24.843296937703293,0.0039480105042457,0.7298242449760437,0.1325057446956634,24.036217004983733,0.0038313020486384,0.726874828338623,0.1252460032701492,24.166536081615405,0.0076703852973878,0.529198169708252,0.1445692777633667,21.151828201023037,0.007247679401189,0.535898745059967,0.1293385028839111,21.39801025785704,0.0075117275118827,0.5227572321891785,0.1337716728448867,21.242601745002077,0.0076004192233085,0.521899402141571,0.1450997740030288,21.191624522786427,0.007952463813126,0.4993568360805511,0.16152885556221,20.994982984287617,0.0123753463849425,0.4553147256374359,0.1696462780237198,19.074426363569124,0.0105897448956966,0.4742151498794555,0.1444830298423767,19.75114501811845,0.0110995061695575,0.4533815085887909,0.1542220115661621,19.546963430698327,0.0116292918100953,0.4444015324115753,0.1541256457567215,19.34446731731775,0.0122145256027579,0.4265681803226471,0.1649743020534515,19.13123395829746
000000005001__woman_with_hat_matisse,0.0001164278728538,0.9910140633583068,0.0187452398240566,39.33943037061387,0.0220049209892749,0.0221025310456752,0.021948704496026,0.0098237665370106,0.4667650759220123,0.1403218954801559,20.0772196714069,0.0033740776125341,0.7167802453041077,0.0960565879940986,24.71844931732773,0.0038997130468487,0.7077569365501404,0.1302127242088318,24.089673485517253,0.0038783804047852,0.7021012902259827,0.1238091588020324,24.113495960833056,0.0075393691658973,0.599611222743988,0.0926410183310508,21.22664990898285,0.008166323415935,0.5410230755805969,0.102477952837944,20.879734244406247,0.0089834807440638,0.5130443572998047,0.1223401799798011,20.46555358761849,0.0090180533006787,0.5134478807449341,0.1320211887359619,20.44887202149625,0.0097171338275074,0.4900773465633392,0.1447123289108276,20.124618159850108,0.0069760517217218,0.5562153458595276,0.1186428964138031,21.563903081249244,0.006831232458353,0.5212150812149048,0.1456151306629181,21.655009359121152,0.0070830988697707,0.502830445766449,0.1585470736026764,21.497766960392237,0.0078090536408126,0.4892947673797607,0.1783044338226318,21.07401593968525,0.007974280975759,0.4803808927536011,0.1918828189373016,20.98308465930728
