method,task,scenario,L2_mean,L2_std,SSIM_mean,SSIM_std,LPIPS_mean,LPIPS_std,PSNR_mean,PSNR_std
naive_reverse,reverse,clean,0.006469245060579851,0.0029430132704996916,0.5234058909118176,0.08519788480184547,0.18893010646104813,0.09051021698392851,22.253266367705805,1.7121609798218231
token_reverse_clean,reverse,clean,0.002179810939996969,0.0015328502463571555,0.8069816216826439,0.08577770290202683,0.12158371516813835,0.07990821048648958,27.45651266932379,2.6752351979403595
token_reverse_rbn,reverse,rbn,0.0027055915188005505,0.0018725196708534984,0.7884019295871257,0.09314933600117077,0.1514031528433164,0.08934156649199278,26.53858699638039,2.749750590675107
token_reverse_jpeg,reverse,jpeg,0.0024725568132998887,0.0018019006515471994,0.7898095816373825,0.0968290300843233,0.1466511303683122,0.09085130618831784,26.97344831774826,2.7846719371945867
token_reverse_oracle,reverse,oracle,0.0021297900051771043,0.0015284233102101762,0.8136244025329749,0.08523557080617385,0.11345484415690105,0.07683400074111167,27.628628332904263,2.8178358438417153
naive_serial2,serial2,clean,0.009011468531874319,0.002727192207818725,0.4965514346460501,0.09356940081027813,0.1944542398676276,0.0724516241581464,20.63778472011065,1.2597168798004004
token_serial2_clean,serial2,clean,0.007758443435110772,0.0029527904616613067,0.49429368729392686,0.08431536260220529,0.15771036428709825,0.05846914001757529,21.41328485927972,1.6513387125532886
token_serial2_rbn,serial2,rbn,0.008390249558724463,0.0031573922104132213,0.4765878672649463,0.08251744210393755,0.16743232554445664,0.059831115484048056,21.06994519941487,1.645337055523124
token_serial2_jpeg,serial2,jpeg,0.008119515644696852,0.003119944612670082,0.4796109540015459,0.0830102054250945,0.16620975965013107,0.05909117036908223,21.226812275346116,1.6845804728404996
token_serial2_v7_render_clean,serial2_render,clean,0.008328228313087797,0.0031354787935390155,0.4737883011500041,0.0827059273496927,0.18356540887306133,0.06293311251493514,21.09910763466303,1.6339639695168973
token_serial2_v7_clean,serial2,clean_blend,0.008134549640429516,0.0030729299928812623,0.47954356687764327,0.0833688982196106,0.17145333139846722,0.06124929711256891,21.203586582149207,1.6399377084994111
token_serial2_v7_rbn,serial2,rbn_blend,0.008745428599261989,0.0032700225242484546,0.4614816694458326,0.08161731672005444,0.18150100021312635,0.06236760010515742,20.88647413373595,1.6362858653309957
token_serial2_v7_jpeg,serial2,jpeg_blend,0.008498570032340164,0.003237709417108987,0.4647362904250622,0.0823058580857968,0.1802334815263748,0.06208997474183977,21.023729733392187,1.6718027168496221
naive_serial3,serial3,clean,0.011335547190780441,0.0032560306593173182,0.4548013804852962,0.07662071405506746,0.23780160278081894,0.06838903909175635,19.637666449701083,1.2672575953790386
token_serial3_clean,serial3,clean,0.009132541242676477,0.003484136206545365,0.4500049094607433,0.08799535868070311,0.1885174245511492,0.06262366673246215,20.714925647721714,1.6848019477301988
token_serial3_rbn,serial3,rbn,0.010133214277836184,0.003803077727908217,0.4260352908819914,0.08519458565299676,0.2002324202656746,0.06397085347283275,20.254472002161407,1.6632844281702759
token_serial3_jpeg,serial3,jpeg,0.009438286850539346,0.0036332341232927666,0.43758170371254285,0.08708943615343848,0.19835150990635156,0.06346883439098777,20.578714779604518,1.7031256482809551
token_serial3_v7_render_clean,serial3_render,clean,0.010172494987491518,0.003767776210078513,0.419184157277147,0.08479817230103373,0.2259808966641625,0.06653945960095824,20.228651221777604,1.6377789039323514
token_serial3_v7_clean,serial3,clean_blend,0.00984571024387454,0.0036940742342098003,0.42775140357514224,0.0863771486290296,0.20902508724480867,0.06530648136516709,20.378394864615636,1.658869957828969
token_serial3_v7_rbn,serial3,rbn_blend,0.010766620793535063,0.003978955111143201,0.4046030039091905,0.08457265450546071,0.21959673763563237,0.06561333829820408,19.982739458017182,1.6413716549862736
token_serial3_v7_jpeg,serial3,jpeg_blend,0.010151672898015628,0.003833412594554212,0.4155116558074951,0.08556059125838555,0.21957599191615979,0.06574533181973874,20.250888901438998,1.6741821579851046
