config,ceiling,freq_loss,psnr,cover_mse,tok_clean,tok_jpeg,tok_rbn,seconds
"baseline (no ceil, no freq)",False,False,35.61185198671047,0.0002746722602751106,0.013464348390698433,0.014690835028886795,0.015103775076568127,13.87
+ capacity ceiling,True,False,41.37074370602426,7.293326052604243e-05,0.014317873865365982,0.01561956200748682,0.015875430777668953,13.39
+ frequency loss,False,True,35.6130462958011,0.0002745967358350754,0.01346560288220644,0.014696112833917141,0.015104139223694801,12.99
full V7.4 design,True,True,41.37203327995856,7.291160727618262e-05,0.014317856170237064,0.015619547106325626,0.015875408425927162,13.54
