fold,train_samples,test_samples,test_groups,accuracy,balanced_accuracy,roc_auc
1,960,240,120,0.7041666666666667,0.7041666666666666,0.7713888888888889
2,960,240,120,0.675,0.675,0.7470833333333332
3,960,240,120,0.7083333333333334,0.7083333333333333,0.7734027777777778
4,960,240,120,0.675,0.675,0.7698611111111111
5,960,240,120,0.7333333333333333,0.7333333333333334,0.8022222222222222
