batch_index,pair_id,device,amp,image_size,tokenizer_sec,encoder_sec,decoder_sec,reverse_sec,full_sec,cover_l2,cover_psnr,token_mse,reverse_l2
0,000000579070__antimonocromatismo,cuda,False,256,0.0021634750009980053,0.007243824999022763,0.0002970000023196917,0.012318375000177184,0.022022675002517644,0.00011484573769848794,39.39884948730469,0.015585292130708694,0.001854793867096305
0,000000579070__impronte_d_artista,cuda,False,256,0.0021634750009980053,0.007243824999022763,0.0002970000023196917,0.012318375000177184,0.022022675002517644,0.00011715221626218408,39.312496185302734,0.01568692736327648,0.001941717928275466
0,000000579070__picasso_self_portrait,cuda,False,256,0.0021634750009980053,0.007243824999022763,0.0002970000023196917,0.012318375000177184,0.022022675002517644,0.00011230302334297448,39.49608612060547,0.01554033625870943,0.0019718161784112453
0,000000579070__trial,cuda,False,256,0.0021634750009980053,0.007243824999022763,0.0002970000023196917,0.012318375000177184,0.022022675002517644,0.00011000821541529149,39.58575439453125,0.015378287993371487,0.001865584752522409
1,000000579070__woman_with_hat_matisse,cuda,False,256,0.0022134249993541744,0.007412124999973457,0.00035032499727094546,0.01228922499649343,0.022265099993092008,0.00012001530558336526,39.20763397216797,0.015505282208323479,0.001926487311720848
1,000000005001__antimonocromatismo,cuda,False,256,0.0022134249993541744,0.007412124999973457,0.00035032499727094546,0.01228922499649343,0.022265099993092008,0.00010951023432426155,39.60545349121094,0.021775618195533752,0.003029152750968933
1,000000005001__impronte_d_artista,cuda,False,256,0.0022134249993541744,0.007412124999973457,0.00035032499727094546,0.01228922499649343,0.022265099993092008,0.000115782801003661,39.36355972290039,0.02194903790950775,0.003580244956538081
1,000000005001__picasso_self_portrait,cuda,False,256,0.0022134249993541744,0.007412124999973457,0.00035032499727094546,0.01228922499649343,0.022265099993092008,0.00011162753071403131,39.52228927612305,0.02168462797999382,0.003208871465176344
2,000000005001__trial,cuda,False,256,0.00222369999755756,0.007330399999773363,0.00032854999881237745,0.012269450002349913,0.022152099998493213,0.00010854011634364724,39.64409637451172,0.021639544516801834,0.003278326243162155
2,000000005001__woman_with_hat_matisse,cuda,False,256,0.00222369999755756,0.007330399999773363,0.00032854999881237745,0.012269450002349913,0.022152099998493213,0.00011642948811640963,39.33937072753906,0.022007513791322708,0.0033738864585757256
2,000000507235__antimonocromatismo,cuda,False,256,0.00222369999755756,0.007330399999773363,0.00032854999881237745,0.012269450002349913,0.022152099998493213,0.00010811275569722056,39.661231994628906,0.013519836589694023,0.0018256567418575287
2,000000507235__impronte_d_artista,cuda,False,256,0.00222369999755756,0.007330399999773363,0.00032854999881237745,0.012269450002349913,0.022152099998493213,0.0001158475861302577,39.36112976074219,0.013772068545222282,0.002299637533724308
3,000000507235__picasso_self_portrait,cuda,False,256,0.002145300000847783,0.007309950000490062,0.00029837500187568367,0.012230424999870593,0.02198405000308412,0.00010282488074153662,39.87902069091797,0.013438376598060131,0.001925522810779512
3,000000507235__trial,cuda,False,256,0.002145300000847783,0.007309950000490062,0.00029837500187568367,0.012230424999870593,0.02198405000308412,0.00011359177005942911,39.446529388427734,0.013524210080504417,0.0023609455674886703
