label,run,note,pairs,checkpoint_path,best_epoch,eval_strength,cover_psnr_mean,cover_psnr_std,cover_psnr_p50,cover_psnr_p95,token_mse_mean,token_mse_std,token_mse_p50,token_mse_p95,jpeg_token_mse_mean,jpeg_token_mse_std,jpeg_token_mse_p50,jpeg_token_mse_p95,rbn_token_mse_mean,rbn_token_mse_std,rbn_token_mse_p50,rbn_token_mse_p95,thumb_mse_mean,thumb_mse_std,thumb_mse_p50,thumb_mse_p95,reverse_l2_mean,reverse_l2_std,reverse_l2_p50,reverse_l2_p95,reverse_psnr_mean,reverse_psnr_std,reverse_psnr_p50,reverse_psnr_p95
V3 baseline,colab_style_stego_benchmark_v3_paper_main,pre-serial baseline,600,experiments/checkpoints\colab_style_stego_benchmark_v3_paper_main\results\benchmark_model_best.pt,,1.24,32.65620143890381,0.5350563715684797,32.67629432678223,33.51888999938965,0.0019127544580260292,0.0004968423923716232,0.0018213880248367786,0.002923109545372426,0.0019099622714566066,0.00049639401806867,0.001816979085560888,0.0029124926659278567,0.0019285246163296202,0.0005033382547512591,0.00184823659947142,0.002937193855177611,3.5622784985965456e-05,3.67921441733392e-05,2.157553990400629e-05,0.00011026896172552349,0.009922674585832283,0.0060805870954700105,0.008291677106171846,0.02090260712429876,20.63930939356486,2.198765489604225,20.81359100341797,23.855912971496583
V4 serial-aware,colab_style_stego_benchmark_v4_serial_aware,serial-aware objective,600,experiments/checkpoints\colab_style_stego_benchmark_v4_serial_aware\results\benchmark_model_best.pt,,1.24,32.05408453941345,0.4996208604989582,32.04434394836426,32.80100631713867,0.0015858280876030525,0.0003664295683875641,0.001493551244493574,0.0023684900719672442,0.0015876356522009397,0.00036722883817382954,0.0014952578931115568,0.0023663385771214964,0.001647480823060808,0.00037290880303829187,0.001564664242323488,0.0023979889461770653,2.1784918474547035e-05,1.9080541857610204e-05,1.4497514712275006e-05,6.619431624130811e-05,0.0084765563866434,0.004905075712269459,0.006972808390855789,0.018073715176433292,21.313727025985717,2.2159130044624638,21.56593894958496,24.738518333435056
V7.1 capacity,colab_style_stego_benchmark_v7_1_capacity_rebalance_scratch,capacity rebalancing,600,experiments/checkpoints\colab_style_stego_benchmark_v7_1_capacity_rebalance_scratch\results\benchmark_model_best.pt,5,1.32,30.51063411394755,0.38613005309361226,30.508610725402832,31.098168945312498,0.019240282589259246,0.005503480298187815,0.0189876276999712,0.030143261048942802,0.019055431697828074,0.005463348744299318,0.01877151057124138,0.029882008023560048,0.01884569799837967,0.0054172397375584465,0.01852753758430481,0.02950862282887101,0.0004117407955103166,0.0001376411760456479,0.00038283960020635277,0.0006793574604671448,0.009125277553296958,0.005305288009060359,0.00788090843707323,0.019421342760324475,20.951393556594848,2.10222753234633,21.034238815307617,23.890542697906493
V7.2 capacity window,colab_style_stego_benchmark_v7_2_capacity_window_scratch,capacity window,600,experiments/checkpoints\colab_style_stego_benchmark_v7_2_capacity_window_scratch\results\benchmark_model_best.pt,4,1.36,31.019045759836832,0.4242067595076615,31.00836944580078,31.723455142974853,0.022806711103767155,0.006486303200415372,0.022313565015792847,0.03515775743871923,0.022550729485228658,0.006428157927804721,0.02211183961480856,0.034779987111687616,0.02226094625890255,0.0063594505529763964,0.02183424588292837,0.03424774855375285,0.00034474239490615827,0.00012902779198786107,0.0003250743611715734,0.0006163745827507224,0.0093373646439674,0.004528921846160155,0.00835735583677888,0.019389644823968405,20.72683808485667,1.8831089616065597,20.77931308746338,23.45261917114258
V7.3 frequency,colab_style_stego_benchmark_v7_3_frequency_guided_scratch,frequency-guided variant,600,experiments/checkpoints\colab_style_stego_benchmark_v7_3_frequency_guided_scratch\results\benchmark_model_best.pt,8,1.56,29.833479216893515,0.23608036861903592,29.810248374938965,30.264892578125,0.011497706465888768,0.0029539372639354154,0.011256854981184006,0.017093262076377864,0.011393990934981654,0.00293042231728818,0.011155012995004654,0.016991631686687464,0.011295962285560866,0.0029090634801797626,0.011055361479520798,0.01691634207963943,0.00022706284255643065,8.267483367477532e-05,0.00021302080858731642,0.00040684822306502605,0.009889939678444837,0.0055998658243070435,0.008254717104136944,0.021674263849854443,20.622237803141275,2.177937866726958,20.832979202270508,23.772432041168212
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,full pre-repair recipe,600,experiments/checkpoints\colab_style_stego_benchmark_v7_4_sota_killer_scratch\results\benchmark_model_best.pt,8,1.36,38.95404716491699,0.4268948070818922,38.96207046508789,39.58862361907959,0.014109903199908635,0.003967629187358193,0.013709533028304577,0.021600047871470452,0.013988452272024006,0.0039402081964281,0.013609251007437706,0.02150476826354861,0.013872742999034623,0.003912936290113709,0.01346142403781414,0.02138024605810642,0.00029286031658557474,0.00014065240878212372,0.00025807473866734654,0.0005555324372835457,0.009880985750739152,0.004839118317960457,0.008613285142928362,0.019304365478456015,20.501608559290567,1.94020597861132,20.648319244384766,23.435036563873286
V8 full,colab_style_stego_paper_repair_v8_coco_full,paper-repair COCO-full checkpoint,600,experiments/checkpoints\colab_style_stego_paper_repair_v8_coco_full\results\benchmark_model_best.pt,39,1.24,39.60695397059123,0.34941241269652973,39.62343215942383,40.17707920074463,0.013311030752180765,0.0043406345194885445,0.012961558997631073,0.02157313823699951,0.013256040936491142,0.004357110969599078,0.012878724839538336,0.02161344699561596,0.013240265934728086,0.004400235628301005,0.012861415278166533,0.02160297418013215,0.00023416792031033157,0.00011915203945522336,0.00020955661602783948,0.0004556777945253997,0.002185469130927231,0.0015336563312771394,0.001805925217922777,0.005352079798467452,27.440735549926757,2.667214514294172,27.43301010131836,32.019850730895996
