label,run,pair_id,eval_strength,cover_psnr,token_mse,jpeg_token_mse,rbn_token_mse,thumb_mse,reverse_l2,reverse_psnr
V3 baseline,colab_style_stego_benchmark_v3_paper_main,000000579070__antimonocromatismo,1.24,32.302711486816406,0.0023217799607664347,0.002326664049178362,0.0023463433608412743,2.5249237296520732e-05,0.010290292091667652,19.875722885131836
V3 baseline,colab_style_stego_benchmark_v3_paper_main,000000579070__impronte_d_artista,1.24,32.0938835144043,0.0024237525649368763,0.002444493118673563,0.002478542737662792,1.7891554307425395e-05,0.010017096996307373,19.99258041381836
V3 baseline,colab_style_stego_benchmark_v3_paper_main,000000579070__picasso_self_portrait,1.24,32.30889129638672,0.0023318284656852484,0.0023377430625259876,0.002350129885599017,2.1372583432821557e-05,0.0097964433953166,20.089317321777344
V3 baseline,colab_style_stego_benchmark_v3_paper_main,000000579070__trial,1.24,32.5565185546875,0.0023292535915970802,0.00234740087762475,0.002373082097619772,1.926948425534647e-05,0.009825261309742928,20.07655906677246
V3 baseline,colab_style_stego_benchmark_v3_paper_main,000000579070__woman_with_hat_matisse,1.24,32.098358154296875,0.0023499452508985996,0.0023680285084992647,0.002394864335656166,2.389711153227836e-05,0.010147334076464176,19.936481475830078
V3 baseline,colab_style_stego_benchmark_v3_paper_main,000000005001__antimonocromatismo,1.24,32.76844787597656,0.00287250685505569,0.002876029349863529,0.002899169921875,4.621610787580721e-05,0.02210349589586258,16.555389404296875
V3 baseline,colab_style_stego_benchmark_v3_paper_main,000000005001__impronte_d_artista,1.24,32.47086715698242,0.0029725413769483566,0.002982002217322588,0.0030187307856976986,4.7168938181130216e-05,0.022167488932609558,16.542835235595703
V3 baseline,colab_style_stego_benchmark_v3_paper_main,000000005001__picasso_self_portrait,1.24,32.62553787231445,0.002783309668302536,0.002787210512906313,0.0028079980984330177,4.7562072722939774e-05,0.022202827036380768,16.535917282104492
V3 baseline,colab_style_stego_benchmark_v3_paper_main,000000005001__trial,1.24,32.79656982421875,0.0029216408729553223,0.0029301904141902924,0.0029631569050252438,4.7175330109894276e-05,0.022131290286779404,16.5499324798584
V3 baseline,colab_style_stego_benchmark_v3_paper_main,000000005001__woman_with_hat_matisse,1.24,32.49702072143555,0.002940574660897255,0.002948441542685032,0.002976365387439728,4.781653842655942e-05,0.022339319810271263,16.509300231933594
