fold,train_samples,test_samples,test_groups,accuracy,balanced_accuracy,roc_auc
1,960,240,120,0.7416666666666667,0.7416666666666667,0.8519444444444444
2,960,240,120,0.775,0.775,0.8448611111111111
3,960,240,120,0.7833333333333333,0.7833333333333333,0.8552777777777777
4,960,240,120,0.7625,0.7625,0.8435416666666666
5,960,240,120,0.775,0.775,0.8493055555555555
